text,tokens,source,categories,primary_category,x,y,sentiment,sentiment_code
"Ehe er das heilige Buch im Kopfe hat, darf kein Moslem irgend etwas anderes erlernen. Alle andere Wissenschaft wäre dann Sünde. Die ganze Erziehung besteht desshalb nur im papageimässigen Auswendiglerne.","['heilig', 'buch', 'kopf', 'haben', 'moslem', 'erlernen', 'wissenschaft', 'sünde', 'ganz', 'erziehung', 'bestehen', 'papageimäßig', 'auswendiglerne']",travel,['religious'],religious,-2.9033387,1.3642998,neutral,NEU
"Die Sklaverei ist zu tief im Orient eingewurzelt, sie ist durch den Koran und die Gesetze geheiligt, so dass man einem Moslem nie wird begreiflich machen , dass sie etwas unmenschliches sein könne.  Auch muss man zur Ehre der Araber und Türken sagen, dass sie die Sklaven fast immer wie ihre eignen Kinder behandeln und dass zwischen orientalischer und amerikanischer Sklaverei ein grosser Unterschied zu Gunsten der erstern stattfindet. ","['sklaverei', 'tief', 'einwurzeln', 'koran', 'gesetz', 'heiligen', 'moslem', 'begreiflich', 'machen', 'unmenschlich', 'ehre', 'araber', 'türke', 'sagen', 'sklave', 'eigen', 'kind', 'behandeln', 'orientalisch', 'amerikanisch', 'sklaverei', 'groß', 'unterschied', 'gunst', 'erst', 'stattfinden']",travel,"['religious', 'ethnic_cultural']",religious,-2.0469747,0.13314413,neutral,NEU
"Heute musste ich leider an diesen antiken Schätzen, ohne sie zu beachten, vorbeisegeln, ja ich musste mich sogar stellen, als wüsste ich gar nichts von ihnen, denn Archäologie ist eine Wissenschaft, mit der sich kein guter Moslem befassen darf und die den Kafir (Ungläubigen) unzweifelhaft verräth","['antik', 'schatz', 'beachen', 'vorbeisegeln', 'stellen', 'wissen', 'archäologie', 'wissenschaft', 'gut', 'moslem', 'befassen', 'kafir', 'ungläubige', 'unzweifelhaft', 'verräthen']",travel,['religious'],religious,-2.6494443,1.2434986,negative,NEG
"Ausserdem sind geographische, ethnologische und naturhistorische Kenntnisse bei keinem Moslem zu finden, der sie nicht von Europäern erlernt hätte und von Europäern etwas zu lernen, ist natürlich eine schreckliche Ketzerei","['geographisch', 'ethnologisch', 'naturhistorisch', 'kenntnis', 'moslem', 'finden', 'europäer', 'erlernen', 'europäer', 'lernen', 'natürlich', 'schrecklich', 'ketzerei']",travel,['religious'],religious,-2.8673213,1.5290402,neutral,NEU
"Grausamkeit ist freilich kein Hauptfehler mehr bei den modernen Aegyptern; sie sind vielmehr eines der sanftesten Völker des Islams, das ich kenne ","['grausamkeit', 'hauptfehler', 'modern', 'aegypter', 'sanft', 'volk', 'islam', 'kennen']",travel,"['religious', 'ethnic_cultural']",religious,-1.740848,0.24361493,neutral,NEU
"Hier fand ich nun zu meinem nicht geringen Erstaunen, dass ich der einzige war, der eine solche Vorsichtsmassregel gebrauchte. Nicht, als ob die Araber nicht so viel, wie wir, ja noch mehr, wie wir Europäer, vom Durst geplagt würden, da sie viel mehr, als wir, an häufiges Wassertrinken gewohnt sind; aber so gross ist ihre Sorglosigkeit, dass sie lieber leiden wollen, als sich die Mühe machen, ein wenig an die Zukunft zu denken. Nur· für sehr grosse Wüstenreisen, durch völlig oasenlose Strecken, nehmen diese Leute Wasser mit","['finden', 'gering', 'erstaunen', 'einzig', 'sein', 'vorsichtsmaßregel', 'gebrauchen', 'araber', 'europäer', 'durst', 'plagen', 'häufig', 'wassertrinken', 'wohnen', 'groß', 'sorglosigkeit', 'leiden', 'mühe', 'machen', 'zukunft', 'denken', 'nur·', 'groß', 'wüstenreise', 'völlig', 'oasenlos', 'strecke', 'nehmen', 'leute', 'wasser']",travel,['ethnic_cultural'],ethnic_cultural,-2.9711633,-0.24325572,negative,NEG
"Aber der Araber, sei er nun Fellah, Städter oder Beduine, ist einmal, was seinen persönlichen Comfort betrifft, durchaus nicht verweichlicht und ich kann wirklich nicht begreifen, wie die byzantinischen Schriftsteller, wie Zonaras, Cantacuzenus, Georgas immer die Aegypter die sich bekanntlich in einem Jahrtausend so gut wie nicht verändert haben, und die wir folglich noch heute so sehen, wie sie zur Zeit Kaiser Zeno's waren, als so luxuriös und verwöhnt schildern.","['araber', 'fellah', 'städter', 'beduine', 'persönlich', 'comfort', 'betreffen', 'verweichlichen', 'begreifen', 'byzantinisch', 'schriftsteller', 'aegypter', 'jahrtausend', 'gut', 'verändern', 'sehen', 'zeit', 'luxuriös', 'verwöhnt', 'schildern']",travel,['ethnic_cultural'],ethnic_cultural,-3.6820917,-0.83909744,negative,NEG
"Sie waren Gattinnen oder Töchter von einigen meiner Bekannten, die jedoch auf dem ganzen Wege von Kene nach Kosseir nie mit ihnen ein Wort wechselten, da es die gute Sitte will, dass kein Araber mit seinen weiblichen Verwandten vor Männern spreche","['gattin', 'tochter', 'bekannte', 'ganz', 'weg', 'wort', 'wechseln', 'gut', 'sitte', 'araber', 'weiblich', 'verwandte|verwandter', 'mann', 'sprechen']",travel,['ethnic_cultural'],ethnic_cultural,-0.99106973,-0.81569153,neutral,NEU
"Hier kamen mir meine mitgenommenen Wasserflaschen recht zu Statten und ich machte mir dadurch viele Freunde, dass ich andern von meinem Ueberflusse mittheilte; wenn man überhaupt sagen kann, dass man sich bei Moslems durch Wohlthaten (Wasser ist aber hier wirklich eine Wohlthat), Freunde macht, denn diese Fatalisten pflegen alle Wohlthaten als unmittelbare Verleihungen Gottes anzusehen und der Wohlthäter erscheint ihnen nur als ein blines Werkzeug der Vorsehung , dem sie keinen Dank schuldig sind","['kommen', 'mitgenommen', 'wasserflasche', 'statte', 'machen', 'freund', 'ueberfluss', 'mittheilen', 'sagen', 'moslem', 'wohlthaten', 'wasser', 'wohlthat', 'freund', 'machen', 'fatalist', 'pflegen', 'wohlthaten', 'unmittelbar', 'verleihung', 'ansehen', 'wohlthäter', 'erscheinen', 'blin', 'werkzeug', 'vorsehung', 'dank', 'schuldig']",travel,['religious'],religious,-1.901219,0.79602295,negative,NEG
"Obgleich die Araber die Erfinder des Compasses sein sollen, so bedienen sie sich doch jetzt nur europäischer und zwar gewöhnlich sehr alter und unbrauchbarer Instrumente.  So war am Bord der „Mutter des Friedens"" auch nur ein so schlechter Compass und Senkblei zu sehen, dass man sie auf keinem Trödelmarkt in Europa wohl mehr an den Mann hätte bringen können","['araber', 'erfinder', 'compass', 'bedienen', 'europäisch', 'gewöhnlich', 'alt', 'unbrauchbar', 'instrument', 'bord', 'mutter', 'frieden', 'schlecht', 'compass', 'senkblei', 'sehen', 'trödelmarkt', 'mann', 'bringen']",travel,['ethnic_cultural'],ethnic_cultural,-2.9984772,-0.18100332,negative,NEG
"Den übrigen Mitreisenden war die dadurch entstandene Verzögerung gleichgültig, da man von ihnen für die längere Fahrt keinen höheren Preis verlangte und die Zeit für gläubige Moslems keinen Werth hat. Das englische Sprichwort „Time is money"" würden diese Leute gar nicht begreifen können. ","['übrig', 'mitreisende', 'entstanden', 'verzögerung', 'gleichgültig', 'lang', 'fahrt', 'hoch', 'preis', 'verlangen', 'zeit', 'gläubig', 'moslem', 'werth', 'haben', 'englisch', 'sprichwort', 'leute', 'begreifen']",travel,['religious'],religious,-1.6200157,1.2961717,neutral,NEU
"Anders jedoch zu segeln, als der Küste entlang und zwar dieser so nahe als möglich, dazu ist kein Araber zu bringen. Bei seiner Unkenntniss der Nautik würde es auch für ihn die unangenehmsten Folgen haben, wollte er sich aufs offene Meer wagen, wovon die geringste ein ewiges Fehlsteuern und Sichverwirren sein würde. ","['segeln', 'küste', 'nah', 'möglich', 'araber', 'bringen', 'unkenntniss', 'nautik', 'unangenehm', 'folge', 'haben', 'offen', 'meer', 'wagen', 'gering', 'ewig', 'fehlsteuer', 'sichverwirren']",travel,['ethnic_cultural'],ethnic_cultural,-3.5485008,0.3275372,neutral,NEU
"Ob diesen Fällen ein Minimum von Wahrheit zu Grunde liegt, lasse ich dahingestellt. Natürlich glaubten meine Reisegefährten diese Erzählung wie ein Evangelium , denn was glaubt ein Araber nicht alles? ","['fall|fällen', 'minimum', 'wahrheit', 'grund', 'liegen', 'lassen', 'dahinstellen', 'glauben', 'reisegefährte', 'erzählung', 'evangelium', 'glauben', 'araber']",travel,['ethnic_cultural'],ethnic_cultural,-3.8387756,-0.19998789,neutral,NEU
"Die sie begleitenden Araber waren ungefähr das wildeste und barbarischste Gesindel, welches ich je gesehen habe. Sie gingen halb nackt, d.h. das Aermelhemd, welches sie trugen, war so zerfetzt, und mit so grossen Lücken versehen, dass es weit besser gewesen wäre, wenn sie ohne Hemd gegangen und sich nur des adamitischen Feigenapfel bedient hätten, wenigstens hätte dieses dem Anstands nothdürftig genügt, was das lückenhafte Aermelhemd keineswegs that. Doch der Anstand (wenigstens was wir unter Anstand verstehen) ist bei einem Volke, bei dem die Frauen den Hausthieren gleich gelten, natürlich nicht ein tiefgefühltes Bedürfniss.","['begleitend', 'araber', 'wild', 'barbarisch', 'gesindel', 'sehen', 'gehen', 'nackt', 'aermelhemd', 'tragen', 'zerfetzen', 'groß', 'lücke', 'versehen', 'weit', 'gut', 'hemd', 'gehen', 'adamitisch', 'feigenapfel', 'bedienen', 'anstand', 'nothdürftig', 'genügen', 'lückenhaft', 'aermelhemd', 'thaben', 'anstand', 'anstand', 'verstehen', 'volk', 'frau', 'hausthier', 'gelten', 'natürlich', 'tiefgefühlt', 'bedürfniss']",travel,"['gender', 'ethnic_cultural', 'appearance', 'behavioral']",gender,-3.1223502,-1.1496103,negative,NEG
"Man muss sieh bei arabischer Geographie nur von einem Grundsatze recht durchdringen lassen, wenn man nicht beständig falsche Schlüssse ziehen will, dass nämlich fast alle Namen von Bergen, Ländern, Flüssen nur von ungefähr, unbestimmt und undefinirt sind , dass der Araber selbst in den meisten Fällen mit einem Namen keine bestimmte Bedeutung verbindet, kurz dass die ganze Geographie im Nebel schwimmt. Woher diese kommt, ist nicht schwer zu erklären. Der Araber war früher fast ausschliesslich und ist noch jetzt vorzugsweise Nomade. Dem Nomaden gilt aber in allen Ländern die Scholle wenig, er haftet nicht an ihr, er schätzt sie nicht, es ist ihm gleichgültig, wie sie heisst. Dagegen gilt ihm die Familie, -der Stamm sehr viel.","['arabisch', 'geographie', 'grundsatz', 'recht', 'durchdringen', 'lassen', 'beständig', 'falsch', 'schlusss', 'ziehen', 'name', 'berg|bergen', 'land', 'fluß', 'ungefähr', 'unbestimmt', 'undefinirt', 'araber', 'fall|fällen', 'name', 'bestimmt', 'bedeutung', 'verbinden', 'kurz', 'ganz', 'geographie', 'nebel', 'schwimmen', 'kommen', 'schwer', 'erklären', 'araber', 'früher', 'ausschließlich', 'nomade', 'nomade', 'gelten', 'land', 'scholle', 'haften', 'schätzen', 'gleichgültig', 'heißen', 'gelten', 'familie', 'stamm']",travel,['ethnic_cultural'],ethnic_cultural,-3.477496,-0.036289204,neutral,NEU
"Die Stelle eines kühleren Gemachs vertritt hier die Hausflur, wo der Hausherr inmitten des männlichen Personals des Hauses seinen Sitz auf schlägt, während das weibliche in die heissen Zimmer verbannt bleibt, in welchen die Frauen hier, wie überall in Ländern des Islam , eine Art von Gefangenleben führen","['stelle', 'kühl', 'gemach', 'vertreten', 'hausflur', 'hausherr', 'männlich', 'personal', 'haus', 'sitz', 'schlagen', 'weiblich', 'heiß', 'zimmer', 'verbannen', 'bleiben', 'frau', 'land', 'islam', 'art', 'gefangenleben', 'führen']",travel,"['religious', 'gender']",religious,-2.1438828,-2.1354527,neutral,NEU
"Unter diesen konnte ich wenig Schönheiten entdecken; die Beduininnen sind meist sehr mager und haben nur in der frühesten Jugend, im Alter von zwölf bis vierzehn Jahren, einen gewissen, jedoch äusserst flüchtigen Reiz, der schon oft nach dem dritten Lust­ rum ihres Lebens einer frühzeitigen Verwelktheit Platz macht; die Negerinnen und Abyssinierinnen sind hier dieselben wie überall; die Aegypterinrien werden sehr geschätzt, zwar sind sie selten schön zu nennen, aber sie besitzen fast immer künstlerische Fertigkeiten, wie Singen, Tanzen, Musiciren, welche sie beliebt machen","['schönheit', 'entdecken', 'beduinin', 'mager', 'haben', 'früh', 'jugend', 'alter', 'jahr', 'gewiß', 'flüchtig', 'reiz', 'dritt', 'lust\xad', 'leben', 'frühzeitig', 'verwelktheit', 'platz', 'machen', 'negerin', 'abyssinierin', 'aegypterinrium', 'schätzen', 'selten', 'schön', 'nennen', 'besitzen', 'künstlerisch', 'fertigkeit', 'singen', 'tanzen', 'musicir', 'belieben', 'machen']",travel,['appearance'],appearance,-3.43289,-1.689308,negative,NEG
"Auf dem Wege dahin kamen wir an einem Ort vorbei, der die Stelle einer Beule bezeichnen soll, welche Eva der Sage gemäss besass. Ich fragte Schiech  Mustapha, was das für eine Beule gewesen sein könne und er versicherte mir allen Ernstes, dieselbe rühre von Prügeln her, welche die Aeltermutter von Sidna Adam , ihrem Herrn und Gemahl, bekommen habe. Diese ächt muselmännische Fabel zeigt, wie geheiligt im Islam die Prügel des Ehegatten sind. In der That sagt der Koran ( Sure 4. Vers 34) ausdrücklich , dass der Mann seine Frauen schlagen soll","['weg', 'kommen', 'ort', 'stelle', 'beule', 'bezeichnen', 'sage', 'gemäß', 'besitzen', 'fragen', 'beule', 'versichern', 'ernst', 'rühren', 'prügel', 'aeltermutter', 'herr', 'gemahl', 'bekommen', 'ächten', 'muselmännisch', 'fabel', 'zeigen', 'heiligen', 'islam', 'prügel', 'ehegatte', 'sagen', 'koran', '4.', 'ausdrücklich', 'mann', 'frau', 'schlagen']",travel,"['religious', 'gender']",religious,-2.496389,-1.5430855,neutral,NEU
"Alles, was die Kaaba und ihren Pilgerdienst betrifft, ist so ganz dem reineren Monotheismus fremd, alles diess ist so durchaus und so unzweifelhaft heidnisch, dass man deutlich erkennt, dass Mohamed , welcher dieses götzendienerische Element, um seiner Lehre unter den fanatisch - heidnischen Arabern mehr Anhänger zu verschaffen , in seine Religion mit aufnahm, dadurch sie für ewig zu einem Cultus von barbarischer Rohheit gestempelt hat. ","['pilgerdienst', 'betreffen', 'rein', 'monotheismus', 'fremd', 'unzweifelhaft', 'heidnisch', 'deutlich', 'erkennen', 'götzendienerisch', 'element', 'lehre', 'fanatisch', 'heidnisch', 'araber', 'anhänger', 'verschaffen', 'religion', 'aufnehmen', 'ewig', 'cultus', 'barbarisch', 'rohheit', 'stempeln']",travel,"['ethnic_cultural', 'behavioral']",ethnic_cultural,-2.4882514,1.0749035,negative,NEG
"Und das ist kein Einzelfall! Rainer Wendt (58), Bundesvorsitzender der Deutschen Polizeigewerkschaft, zu BILD: „Wir laufen Gefahr, dass die Lage in den Flüchtlingsunterkünften außer Kontrolle gerät. Nach unseren Erkenntnissen kommt es leider an vielen Orten sehr gezielt und gut vorbereitet nahezu täglich zu ethnischen oder religiös motivierten gewaltsamen Auseinandersetzungen.“","['einzelfall', 'bundesvorsitzende', 'laufen', 'gefahr', 'lage', 'flüchtlingsunterkunft', 'kontrolle', 'geraten', 'erkenntnis', 'kommen', 'ort|orten', 'gezielt', 'gut', 'vorbereiten', 'täglich', 'ethnisch', 'religiös', 'motivieren', 'gewaltsam', 'auseinandersetzung']",bild,['ethnic_cultural'],ethnic_cultural,0.36389172,-0.8736109,negative,NEG
"In einem vertraulichen Bericht (liegt BILD vor) schildert ein Gesundheitsaufseher der Bundeswehr die Situation in einem Thüringer Lager wie folgt: „In den Unterkunftsbereichen werden alleinstehende Frauen von anderen männlichen Personen (...) anuriniert, auch wenn die Frauen schlafen. Sexuelle Belästigungen sind an der Tagesordnung.“","['vertraulich', 'bericht', 'liegen', 'schildern', 'gesundheitsaufseher', 'bundeswehr', 'situation', 'lager', 'folgen', 'unterkunftsbereich', 'alleinstehend', 'frau', 'männlich', 'person', 'anurinieren', 'frau', 'schlafen', 'sexuell', 'belästigung', 'tagesordnung']",bild,['gender'],gender,-0.1576329,-2.6300406,negative,NEG
"„Vorrangig ging es den meist arabischen Tätern um die Sexualstraftaten oder, um es aus ihrem Blickwinkel zu sagen, um ihr sexuelles Amüsement.“","['vorrangig', 'gehen', 'arabisch', 'täter', 'sexualstraftat', 'blickwinkel', 'sagen', 'sexuell', 'amüsement']",bild,['gender'],gender,-0.686443,-1.5771855,neutral,NEU
"Zu Wort kommt in dem Film auch ein junger Ägypter, der die Vorfälle mit den Worten kommentiert, es sei „keine gute Angewohnheit“, doch das Verhalten der Frauen treibe den ägyptischen Mann zu diesen Vergewaltigungen – „wie sie sich anziehen, wie sie gehen, alles“.","['wort', 'kommen', 'film', 'jung', 'ägypter', 'vorfall', 'wort', 'kommentieren', 'gut', 'angewohnheit', 'verhalten', 'frau', 'treiben', 'ägyptisch', 'mann', 'vergewaltigung', 'anziehen', 'gehen']",bild,['gender'],gender,-1.4341073,-2.8275003,neutral,NEU
Fotos zeigen unter den Flüchtlingen aus Syrien deutlich hohe Zahl des dortigen Mittelstands (plus Familien) mit vermutlicher Ausbildung. Diesen Umstand gilt es zu erkunden und zu nutzen. Die Syrer (10 Prozent Christen) gelten neben den benachbarten Libanesen als die tüchtigsten Araber.,"['foto', 'zeigen', 'flüchtling', 'deutlich', 'hoch', 'zahl', 'dortig', 'mittelstand', 'plus', 'familie', 'vermutlich', 'ausbildung', 'umstand', 'gelten', 'erkunden', 'nutzen', 'syrer', 'prozent', 'christ', 'gelten', 'benachbart', 'libanese', 'tüchtig', 'araber']",krone,['ethnic_cultural'],ethnic_cultural,-0.39218074,0.59031427,neutral,NEU
"Wie berichtet, wurden mindestens 100 Frauen von einer Horde Männer – laut Zeugen aus dem arabischen oder nordafrikanischen Raum – sexuell bedrängt und ausgeraubt. Klar ist: Frauen haben Angst und müssen vor Übergriffen geschützt werden!","['berichten', 'frau', 'horde', 'mann', 'zeuge', 'arabisch', 'nordafrikanisch', 'raum', 'sexuell', 'bedrängen', 'ausrauben', 'klar', 'frau', 'haben', 'angst', 'übergriff', 'schützen']",krone,['gender'],gender,-1.0589682,-2.0698986,negative,NEG
"Frauen sollten nachts generell in Begleitung unterwegs sein, Angst-Räume meiden und in Lokalen keine Getränke von Fremden annehmen. Das war früher so und wird auch in Zukunft weiter so sein.","['frau', 'generell', 'begleitung', 'angst', 'raum', 'meiden', 'lokal', 'getränk', 'fremde', 'annehmen', 'früher', 'zukunft']",krone,['gender'],gender,-0.26865086,-3.1124263,neutral,NEU
"„Es ist untragbar, dass Frauen in deutschen Großstädten nachts auf offener Straße, öffentlichen Plätzen von jungen Migranten sexuell traktiert und beraubt werden.“","['untragbar', 'frau', 'deutsch', 'großstadt', 'offen', 'straße', 'öffentlich', 'platz', 'jung', 'migranten', 'sexuell', 'traktieren', 'berauben']",krone,['gender'],gender,-0.18019482,-3.157496,neutral,NEU
